Numero,1A,1B,1D,1E,1G,1I,1K,1L,Cadena
1,3E,3J,3I,3F,3H,3G,3L,3K,ABCD
2,3H,3G,3I,3D,3J,3F,3L,3K,ABCE
3,3E,3J,3I,3D,3H,3G,3L,3K,ABCF
4,3E,3J,3I,3D,3H,3F,3L,3K,ABCG
5,3E,3G,3I,3D,3J,3F,3L,3K,ABCH
6,3E,3G,3J,3D,3H,3F,3L,3K,ABCI
7,3E,3G,3I,3D,3H,3F,3L,3K,ABCJ
8,3E,3G,3J,3D,3H,3F,3L,3I,ABCK
9,3E,3G,3J,3D,3H,3F,3I,3K,ABCL
10,3H,3G,3I,3C,3J,3F,3L,3K,ABDE
11,3E,3J,3I,3C,3H,3G,3L,3K,ABDF
12,3E,3J,3I,3C,3H,3F,3L,3K,ABDG
13,3E,3G,3I,3C,3J,3F,3L,3K,ABDH
14,3E,3G,3J,3C,3H,3F,3L,3K,ABDI
15,3E,3G,3I,3C,3H,3F,3L,3K,ABDJ
16,3E,3G,3J,3C,3H,3F,3L,3I,ABDK
17,3E,3G,3J,3C,3H,3F,3I,3K,ABDL
18,3H,3G,3I,3C,3J,3D,3L,3K,ABEF
19,3C,3J,3I,3D,3H,3F,3L,3K,ABEG
20,3C,3G,3I,3D,3J,3F,3L,3K,ABEH
21,3C,3G,3J,3D,3H,3F,3L,3K,ABEI
22,3C,3G,3I,3D,3H,3F,3L,3K,ABEJ
23,3C,3G,3J,3D,3H,3F,3L,3I,ABEK
24,3C,3G,3J,3D,3H,3F,3I,3K,ABEL
25,3E,3J,3I,3C,3H,3D,3L,3K,ABFG
26,3E,3G,3I,3C,3J,3D,3L,3K,ABFH
27,3E,3G,3J,3C,3H,3D,3L,3K,ABFI
28,3E,3G,3I,3C,3H,3D,3L,3K,ABFJ
29,3E,3G,3J,3C,3H,3D,3L,3I,ABFK
30,3E,3G,3J,3C,3H,3D,3I,3K,ABFL
31,3C,3J,3E,3D,3I,3F,3L,3K,ABGH
32,3C,3J,3E,3D,3H,3F,3L,3K,ABGI
33,3C,3E,3I,3D,3H,3F,3L,3K,ABGJ
34,3C,3J,3E,3D,3H,3F,3L,3I,ABGK
35,3C,3J,3E,3D,3H,3F,3I,3K,ABGL
36,3C,3G,3E,3D,3J,3F,3L,3K,ABHI
37,3C,3G,3E,3D,3I,3F,3L,3K,ABHJ
38,3C,3G,3E,3D,3J,3F,3L,3I,ABHK
39,3C,3G,3E,3D,3J,3F,3I,3K,ABHL
40,3C,3G,3E,3D,3H,3F,3L,3K,ABIJ
41,3C,3G,3J,3D,3H,3F,3L,3E,ABIK
42,3C,3G,3J,3D,3H,3F,3E,3K,ABIL
43,3C,3G,3E,3D,3H,3F,3L,3I,ABJK
44,3C,3G,3E,3D,3H,3F,3I,3K,ABJL
45,3C,3G,3J,3D,3H,3F,3E,3I,ABKL
46,3H,3J,3B,3F,3I,3G,3L,3K,ACDE
47,3E,3J,3I,3B,3H,3G,3L,3K,ACDF
48,3E,3J,3B,3F,3I,3H,3L,3K,ACDG
49,3E,3J,3B,3F,3I,3G,3L,3K,ACDH
50,3E,3J,3B,3F,3H,3G,3L,3K,ACDI
51,3E,3G,3B,3F,3I,3H,3L,3K,ACDJ
52,3E,3J,3B,3F,3H,3G,3L,3I,ACDK
53,3E,3J,3B,3F,3H,3G,3I,3K,ACDL
54,3H,3J,3B,3D,3I,3G,3L,3K,ACEF
55,3H,3J,3B,3D,3I,3F,3L,3K,ACEG
56,3I,3G,3B,3D,3J,3F,3L,3K,ACEH
57,3H,3G,3B,3D,3J,3F,3L,3K,ACEI
58,3H,3G,3B,3D,3I,3F,3L,3K,ACEJ
59,3H,3G,3B,3D,3J,3F,3L,3I,ACEK
60,3H,3G,3B,3D,3J,3F,3I,3K,ACEL
61,3E,3J,3B,3D,3I,3H,3L,3K,ACFG
62,3E,3J,3B,3D,3I,3G,3L,3K,ACFH
63,3E,3J,3B,3D,3H,3G,3L,3K,ACFI
64,3E,3G,3B,3D,3I,3H,3L,3K,ACFJ
65,3E,3J,3B,3D,3H,3G,3L,3I,ACFK
66,3E,3J,3B,3D,3H,3G,3I,3K,ACFL
67,3E,3J,3B,3D,3I,3F,3L,3K,ACGH
68,3E,3J,3B,3D,3H,3F,3L,3K,ACGI
69,3E,3I,3B,3D,3H,3F,3L,3K,ACGJ
70,3E,3J,3B,3D,3H,3F,3L,3I,ACGK
71,3E,3J,3B,3D,3H,3F,3I,3K,ACGL
72,3E,3G,3B,3D,3J,3F,3L,3K,ACHI
73,3E,3G,3B,3D,3I,3F,3L,3K,ACHJ
74,3E,3G,3B,3D,3J,3F,3L,3I,ACHK
75,3E,3G,3B,3D,3J,3F,3I,3K,ACHL
76,3E,3G,3B,3D,3H,3F,3L,3K,ACIJ
77,3H,3G,3B,3D,3J,3F,3L,3E,ACIK
78,3H,3G,3B,3D,3J,3F,3E,3K,ACIL
79,3E,3G,3B,3D,3H,3F,3L,3I,ACJK
80,3E,3G,3B,3D,3H,3F,3I,3K,ACJL
81,3H,3G,3B,3D,3J,3F,3E,3I,ACKL
82,3H,3J,3B,3C,3I,3G,3L,3K,ADEF
83,3H,3J,3B,3C,3I,3F,3L,3K,ADEG
84,3I,3G,3B,3C,3J,3F,3L,3K,ADEH
85,3H,3G,3B,3C,3J,3F,3L,3K,ADEI
86,3H,3G,3B,3C,3I,3F,3L,3K,ADEJ
87,3H,3G,3B,3C,3J,3F,3L,3I,ADEK
88,3H,3G,3B,3C,3J,3F,3I,3K,ADEL
89,3E,3J,3B,3C,3I,3H,3L,3K,ADFG
90,3E,3J,3B,3C,3I,3G,3L,3K,ADFH
91,3E,3J,3B,3C,3H,3G,3L,3K,ADFI
92,3E,3G,3B,3C,3I,3H,3L,3K,ADFJ
93,3E,3J,3B,3C,3H,3G,3L,3I,ADFK
94,3E,3J,3B,3C,3H,3G,3I,3K,ADFL
